canonical_smiles,standard_value,pIC50
CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)S(=O)(=O)Nc1ccc(F)cc1,15.0,7.82
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1.[Na+],3.0,8.52
Cc1ccc(C(=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c2nnnn2C)c2ccc(C)cc2C)c(C)c1,1600.0,5.8
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cccc(Cl)c1Cl,64400.0,4.19
Cc1ccc(-c2ccc(F)cc2)n1-c1ccccc1[C@@H]1C[C@@H](O)CC(=O)O1,100000.0,4.0
CCN(Cc1ccccc1)C(=O)c1nn(-c2ccc(F)cc2)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c1C(C)C.[Na+],3.8,8.42
Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C)n1,260.0,6.59
CCCC(CC)(CC)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21,1.9,8.72
CNS(=O)(=O)c1c(C(C)C)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1-c1ccc(F)cc1)-c1ccc(F)cc1,27.0,7.57
Cc1cc(Cl)cc(CCCOc2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC([O-])=O,80.0,7.1
CC(C)n1nnnc1C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1,14000.0,4.85
O[C@@H]1CC(CCc2c(Cl)cc(Cl)cc2Cc2ccccc2)OC(=O)C1,530.0,6.28
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cccc2Cl)O1,7900.0,5.1
CC(C)c1nn(c(c1C(=C)[C@H]1C[C@H](O)CC(=O)O1)-c1ccc(F)cc1)-c1ccccc1,17800.0,4.75
COc1ccc(-c2ccc(C)n2CC[C@@H]2C[C@@H](O)CC(=O)O2)cc1,12000.0,4.92
Cc1ccc(cc1)-c1nc(n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c1-c1ccc(F)cc1)C(F)(F)F,43.0,7.37
CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(cn1-c1ccccc1)-c1ccc(F)cc1,3.0,8.52
CCCCCCCCCCCCCCCC(O)(CC(=O)OCC)CC(=O)OCC,1000000.0,3.0
O=C1C[C@H](O)CC(CC2c3ccc(F)cc3-c3cc(Cl)cc(Cl)c32)O1,85.0,7.07
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC([O-])=O)[C@@H]12,13.0,7.89
O[C@@H]1CC(CCc2c(O)cc(Cl)cc2Cl)OC(=O)C1,7900.0,5.1
CC(CC(=O)O)CC(=O)c1ccc(Sc2ccccc2)cc1,240000.0,3.62
CC(C)c1sc(-c2ccccc2)c(-c2cccc(C(F)(F)F)c2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],2980.0,5.53
CC(C)c1c(C(=O)N(C)Cc2ccccc2F)nn(-c2ccc(F)cc2)c1OC[C@@H](O)C[C@@H](O)CC(=O)O,8.7,8.06
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c2c(nn1-c1ccc(F)cc1)C(CCc1ccccc1)CCC2.[Na+],540.0,6.27
O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(Cl)cc(Cl)cc1-c1ccc(F)cc1.[Na+],4.5,8.35
CC[C@@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,3690.0,5.43
Cc1cc(cc(C)c1F)-c1c(nc(n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C(F)(F)F)-c1ccc(F)cc1,31.0,7.51
COc1ccc(-c2c(-c3ccccc3)sc(C(C)C)c2/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],2430.0,5.61
COc1cc(CN(C)C(=O)c2nn(-c3ccc(F)cc3)c(OC[C@@H](O)C[C@@H](O)CC(=O)O)c2C(C)C)cc(OC)c1,43.0,7.37
O=C1C[C@H](O)C[C@@H](/C=C/c2c(Cl)cc(Cl)cc2OCc2cccs2)O1,600.0,6.22
CC(C)(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],7.0,8.15
O[C@H](CCn1c(nc(c1-c1cccnc1)-c1ccc(F)cc1)C(F)(F)F)C[C@@H](O)CC([O-])=O,1000.0,6.0
COc1ccc(CN(C)C(=O)c2nn(c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c2C(C)C)-c2ccc(F)cc2)cc1,12.0,7.92
C=CCO[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@H]21,370.0,6.43
O[C@@H]1C[C@@H](CCn2c(ccc2-c2ccc(F)cc2)C2CCC2)OC(=O)C1,15800.0,4.8
CC(C)c1nn(c(c1CC[C@H]1C[C@H](O)CC(=O)O1)-c1ccc(F)cc1)-c1cccc2ccccc12,234.0,6.63
CCCCNC(=O)c1nn(-c2ccc(F)cc2)c(OC[C@@H](O)C[C@@H](O)CC(=O)O)c1C(C)C,76.0,7.12
